Y;surface;tourney_date;Opponents;O_hand;O_ht;O_age;O_rank
1;Hard;20200831;Federico Delbonis;L;190;29.9055441478;79
1;Hard;20200831;Christopher Oconnell;R;183;26.2450376454;116
1;Hard;20200831;J J Wolf;R;;21.6947296372;138
1;Hard;20200831;Frances Tiafoe;R;188;22.6119096509;82
1;Hard;20200831;Andrey Rublev;R;188;22.8637919233;14
1;Hard;20201012;Richard Gasquet;R;185;34.3189596167;53
1;Hard;20201026;Vasek Pospisil;R;193;30.3436002738;81
1;Hard;20201026;Jason Jung;R;;31.3648186174;127
1;Hard;20201102;Alexander Zverev;R;198;23.537303217;7
1;Hard;20201102;Milos Raonic;R;196;29.8507871321;17
1;Hard;20201102;Diego Schwartzman;R;170;28.2135523614;9
1;Hard;20201102;Alex De Minaur;R;183;21.7084188912;25
1;Hard;20201102;Kevin Anderson;R;203;34.4613278576;86
1;Hard;20201116;Dominic Thiem;R;185;27.2032854209;3
1;Hard;20201116;Rafael Nadal;L;185;34.4558521561;2
1;Hard;20201116;Novak Djokovic;R;188;33.4893908282;1
1;Hard;20201116;Alexander Zverev;R;198;23.575633128;7
1;Hard;20201116;Diego Schwartzman;R;170;28.2518822724;9
1;Hard;20210202;Matteo Berrettini;R;196;24.8076659822;10
1;Hard;20210202;Alexander Zverev;R;198;23.7864476386;7
1;Hard;20210202;Diego Schwartzman;R;170;28.462696783;9
1;Hard;20210202;Kei Nishikori;R;178;31.0937713895;41
1;Hard;20210208;Vasek Pospisil;R;193;30.6310746064;63
1;Hard;20210208;Roberto Carballes Baena;R;183;27.8822724162;99
1;Hard;20210208;Filip Krajinovic;R;185;28.9500342231;33
1;Hard;20210208;Mackenzie Mcdonald;R;178;25.8179329227;192
1;Hard;20210208;Andrey Rublev;R;188;23.3045859001;8
1;Hard;20210208;Stefanos Tsitsipas;R;193;22.4941820671;6
1;Hard;20210308;Pierre Hugues Herbert;R;188;29.9739904175;93
1;Hard;20210308;Matthew Ebden;R;188;33.2813141684;287
1;Hard;20210308;Jannik Sinner;R;188;19.5592060233;34
1;Hard;20210308;Egor Gerasimov;R;196;28.3203285421;76
